name,primary_muscle_group,equipment,rating,pk,slug,primaryMuscles,secondaryMuscles,steps,notes,instructions
Seated One-Handed Row – Cable,,,,157.0,seated-one-handed-row-cable,"['lat', 'shoulder - back', 'trap']","['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front']","['Sit facing a cable machine with your feet flat on the ground or footrests.', 'Grasp the handle with one hand, palm facing inward.', 'Use your feet to push your body back, creating tension on the cable, keeping your arm fully extended.', 'Engage your core while leaning slightly forward.', 'Pull the handle towards your torso, keeping your elbow close to your body.', 'Squeeze your shoulder blades together while leaning slightly back.', 'Pause for a moment at the top of the movement, feeling the contraction in your back muscles.', 'Slowly extend your arm back to the starting position, maintaining control throughout the movement.', 'Repeat for the desired number of repetitions, then switch to the other hand.']",,
Lunge – Dumbbell,,,,158.0,lunge-dumbbell,"['glute', 'quad', 'thigh - inner']",['forearm - inner'],"['Stand with your feet hip-width apart and hold a dumbbell in each hand, palms facing your body.', 'Take a big step forward with your right foot, keeping your torso upright.', 'Bend both knees to lower your body towards the floor, making sure your right knee is directly above your ankle.', 'Push through your right heel to return to the starting position.', 'Repeat on the other side, stepping forward with your left foot.', 'Continue alternating legs for the desired number of repetitions.']",,
Cable Curl – Bar,,,,159.0,cable-curl-bar,['bicep'],['forearm - inner'],"['Stand facing a cable machine with your feet shoulder-width apart.', 'Attach a straight bar to the low pulley of the cable machine.', 'Grasp the bar with an underhand grip, hands shoulder-width apart.', 'Keep your elbows close to your sides and your upper arms stationary throughout the exercise.', 'Exhale and curl the bar up towards your shoulders, contracting your biceps.', 'Pause for a moment at the top of the movement, squeezing your biceps.', 'Inhale and slowly lower the bar back to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']",,
Hack Squat – Landmine,,,,160.0,hack-squat-landmine,"['glute', 'quad', 'thigh - inner']",[],"['Place the end of a barbell into a landmine attachment or securely anchor it in a corner.', 'Stand with your feet shoulder-width apart, toes slightly turned out.', 'Hold the unattached end of the barbell with both hands, palms facing inwards. Lift the end up and over one shoulder while you turn away from the weight. Rest the barbell on your shoulder with the weight at your back.', 'Keep your core engaged, chest lifted, and back straight.', 'Lower your body by bending at the knees and hips, as if sitting back into a chair.', 'Continue lowering until your thighs are parallel to the ground or slightly below.', 'Push through your heels and extend your knees and hips to return to the starting position.', 'Repeat for the desired number of repetitions.']",,
Concentration Curl,,,,161.0,concentration-curl,['bicep'],['forearm - inner'],"['Start by sitting on a bench with your feet flat on the floor and your knees slightly bent.', 'Hold a dumbbell in one hand and place your elbow on the inside of your thigh, just above the knee.', 'Extend your arm fully, allowing the dumbbell to hang down towards the floor.', 'Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder while contracting your biceps.', 'Pause for a moment at the top of the movement, squeezing your biceps.', 'Inhale and slowly lower the dumbbell back to the starting position, fully extending your arm.', 'Repeat for the desired number of repetitions and then switch arms.']",,
One-Handed Tricep Pushdown – Cable,,,,162.0,one-handed-tricep-pushdown-cable,['tricep'],[],"['Stand facing a cable machine with your feet shoulder-width apart.', 'Grasp the cable attachment with one hand, palm facing down.', 'Position your elbow at a 90-degree angle and keep it close to your side.', 'Engage your core and maintain a neutral spine.', 'Exhale and extend your arm down, fully straightening your elbow.', 'Pause for a moment, squeezing your tricep muscle.', 'Inhale and slowly return your arm to the starting position, maintaining control.', 'Repeat for the desired number of repetitions and then switch arms.']",,
Hip Thrust – Machine,,,,163.0,hip-thrust-machine,['glute'],"['hamstring', 'thigh - inner']","['Adjust the machine to the appropriate height and resistance level.', 'Sit on the machine with your back against the backrest and your feet flat on the foot platform.', 'Engage your core and glutes, then press through your heels to extend your hips forward.', 'Continue to drive your hips forward until your body is in a straight line from your knees to your shoulders.', 'Hold the position for a brief moment, focusing on squeezing your glutes.', 'Slowly lower your hips back down to the starting position, maintaining control throughout the movement.', 'Repeat for the desired number of repetitions.']",,
Squat Jerk,,,,165.0,squat-jerk,"['glute', 'lower back', 'quad', 'shoulder - front', 'thigh - inner']","['calf', 'shoulder - side', 'trap', 'tricep']","['Start with your feet shoulder-width apart and toes slightly turned out.', 'Get into position by cleaning the barbell or lifting it from a rack at shoulder height with an overhand grip.', 'Drop your body into a deep squat position, keeping your chest up and back straight, while pushing the barbell above your head, extending your arms fully.', 'As you reach the bottom of the squat, explosively drive through your legs and hips to stand up.', 'Lock out your elbows and stabilize the weight overhead.', 'Lower the weight back down to shoulder height and repeat for the desired number of repetitions.']",,
Seated Calf Raise,,,,166.0,seated-calf-raise,['calf'],[],"['Adjust the seat height and position yourself on the calf raise machine with your feet flat on the foot platform.', 'Place your thighs under the leg pad and ensure that your knees are slightly bent.', 'Grasp the handles or sides of the machine for stability.', 'Slowly raise your heels by extending your ankles as far as possible while keeping your toes on the foot platform.', 'Hold the contracted position for a brief moment, feeling the stretch in your calves.', 'Lower your heels back down to the starting position, allowing your calves to stretch.', 'Repeat the movement for the desired number of repetitions.']",,
Split Jerk,,,,167.0,split-jerk,['shoulder - front'],"['glute', 'lower back', 'quad', 'shoulder - side', 'thigh - inner', 'trap', 'tricep']","['Start with the barbell resting on your shoulders, hands slightly wider than shoulder-width apart.', 'Bend your knees and lower your body into a partial squat, keeping your back straight and core engaged.', 'Drive through your legs and explosively push the barbell overhead, extending your arms fully.', 'As the barbell reaches its peak, quickly split your legs, with one foot moving forward and the other moving backward into a high lunge position.', 'Stabilize your body and hold the split position for a moment.', 'Stand back up by bringing your front and back feet back to the position where they started.', 'Lower the barbell back to your shoulders and repeat the movement for the desired number of repetitions.']",,
Seated Snatch Grip Behind the Neck Press,,,,168.0,seated-snatch-grip-behind-the-neck-press,"['shoulder - front', 'shoulder - side']","['trap', 'tricep']","['Start by sitting on a bench with a backrest, next to a racked, weighted barbell.', 'Grip the barbell with a wide snatch grip.', 'Position the barbell behind your neck, resting it on your upper traps.', 'Engage your core and keep your back straight.', 'Press the barbell overhead by extending your arms and pushing the weight up.', 'Lock out your elbows at the top of the movement.', 'Lower the barbell back down to the starting position behind your neck.', 'Repeat for the desired number of repetitions.']",,
Standing Snatch Grip Behind the Neck Press,,,,169.0,standing-snatch-grip-behind-the-neck-press,"['shoulder - front', 'shoulder - side']","['trap', 'tricep']","['Stand with your feet shoulder-width apart and grip the barbell with a wide snatch grip.', 'Position the barbell behind your neck, resting it on your upper traps.', 'Engage your core and keep your back straight.', 'Press the barbell overhead by extending your arms and pushing the weight up.', 'Lock out your elbows at the top of the movement.', 'Lower the barbell back down to the starting position behind your neck.', 'Repeat for the desired number of repetitions.']",,
Close-Grip Bench Press,,,,170.0,close-grip-bench-press,['tricep'],"['chest', 'shoulder - front']","['Set up the bench press station with the appropriate weight on the barbell.', 'Lie down on the bench with your feet flat on the ground and your back pressed against the bench.', 'Grasp the barbell with your hands shoulder-width apart or just slightly narrower.', 'Unrack the barbell and hold it directly above your chest, arms fully extended.', 'Lower the barbell towards your chest by bending your elbows, keeping them close to your body.', 'Pause briefly with the barbell barely above your chest.', 'Push the barbell back up to the starting position by extending your arms, keeping your elbows close to your body.', 'Repeat the movement for the desired number of repetitions.']",,
Clean,,,,171.0,clean,"['glute', 'lower back', 'quad', 'thigh - inner']","['calf', 'forearm - inner', 'hamstring', 'trap']","['Start with feet hip-width apart and hands gripping the barbell just outside the legs.', 'Lower into a squat position, keeping the back straight and the chest up.', 'Explosively extend the hips, knees, and ankles, driving the barbell upwards.', 'As the barbell reaches chest level, quickly drop underneath it in a squat position, rotating the elbows forward.', 'Catch the barbell on the front of the shoulders, with the elbows pointing forward and the chest up.', 'Stand up by extending the hips and knees, keeping the barbell close to the body.', 'Lower the barbell back to the starting position by reversing the movement.']",,
One-Handed Wrist Curl – Dumbbell,,,,172.0,one-handed-wrist-curl-dumbbell,['forearm - inner'],[],"['Sit on a bench, resting your forearm on your knee, gripping a dumbbell in one hand with your palm facing up.', 'Bending at the wrist, extend your knuckles towards the floor.', 'Curl your wrist upward, bringing the dumbbell towards your forearm.', 'Pause for a moment at the top of the movement, squeezing your forearm muscles.', 'Slowly lower the dumbbell back to the starting position, fully extending your wrist.', 'Repeat for the desired number of repetitions.', 'Switch hands and repeat the exercise with the other hand.']",,
Standing Chest Fly – Cable,,,,173.0,standing-chest-fly-cable,['chest'],"['bicep', 'forearm - inner', 'shoulder - front']","['Stand in front of a cable machine, facing away from the machine, with your feet shoulder-width apart and knees slightly bent.', 'Grasp the handles of the cables with your palms facing forward and your arms extended out to the sides at shoulder height.', 'Engage your core and maintain a slight bend in your elbows throughout the exercise. Try not to change the degree of elbow bend during the repetitions.', 'Exhale and slowly bring your arms forward, until your hands touch, while maintaining the same level of shoulder height.', 'Inhale and slowly return your arms back to the starting position, keeping them extended and at shoulder height.', 'Repeat for the desired number of repetitions.']",,
Floor Back Extension,,,,174.0,floor-back-extension,['lower back'],[],"['Lie face down on the floor with your legs extended and your arms by your sides.', 'Place your hands on the back of your head, or keep them out in a ""cactus pose"".', 'Engage your core muscles by drawing your navel towards your spine.', 'Slowly lift your upper body off the floor, using your lower back muscles.', 'Keep your neck in a neutral position and avoid straining or arching it.', 'Hold the lifted position long enough to squeeze your lower back muscles.', 'Lower your upper body back down to the starting position in a controlled manner.', 'Repeat the exercise for the desired number of repetitions.']",,
Side Plank,,,,175.0,side-plank,['oblique'],['abdominal'],"['Start by lying on your side with your legs extended and stacked on top of each other.', 'Place your forearm on the ground directly below your shoulder, with your elbow bent at a 90-degree angle.', 'Engage your core muscles and lift your hips off the ground, creating a straight line from your head to your feet.', 'Keep your body in a straight line and avoid sagging or letting your hips drop.', 'Hold the position for the desired amount of time.', 'Repeat on the other side.']",,
Pec Deck,,,,176.0,pec-deck,['chest'],['shoulder - front'],"['Sit on the Pec Deck machine with your back flat against the backrest and your feet firmly on the floor.', 'Adjust the seat height so that the handles are at chest level.', 'Grasp the handles with an overhand grip, keeping your elbows slightly bent.', 'Exhale and push the handles together in front of your chest, squeezing your chest muscles.', 'Hold the contraction for a second, then slowly release the handles back to the starting position.', 'Repeat for the desired number of repetitions.']",,
Pronated Grip Lat Pulldown,,,,177.0,pronated-grip-lat-pulldown,['lat'],"['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front', 'shoulder - back']","['Adjust the seat height and position yourself on the lat pulldown machine.', 'Grab the bar with an overhand grip, palms facing away from you, slightly wider than shoulder-width apart.', 'Sit down and position your thighs under the thigh pads, keeping your feet flat on the floor.', 'Keep your back straight and lean back slightly, engaging your core muscles.', 'Exhale and pull the bar down towards your upper chest, leading with your elbows.', 'Squeeze your shoulder blades together at the bottom of the movement.', 'Inhale and slowly release the bar back to the starting position, extending your arms fully.', 'Repeat for the desired number of repetitions.']",,
Decline Bench Press – Barbell,,,,178.0,decline-bench-press-barbell,['chest'],"['shoulder - front', 'tricep']","['Set up the decline bench at a decline angle of your choice.', 'Lie down on the bench with your feet secured under the foot pads.', 'Grip the barbell with an overhand grip slightly wider than shoulder-width apart.', 'Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.', 'Inhale and slowly lower the barbell towards your lower chest.', 'Pause for a moment when the barbell is just above your chest.', 'Exhale and push the barbell back up to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']",,
Standing Cable Leg Curl,,,,179.0,standing-cable-leg-curl,['hamstring'],[],"['Stand facing a cable machine with your feet hip-width apart.', 'Attach an ankle cuff to your right ankle.', 'Hold onto the machine for support and balance.', 'Bend your right knee and bring your heel towards your glutes, keeping your upper leg stationary.', 'Squeeze your hamstring at the top of the movement.', 'Slowly lower your leg back to the starting position.', 'Repeat for the desired number of repetitions.', 'Switch sides and perform the exercise with your left leg.']",,
Cable Pull Through,,,,180.0,cable-pull-through,"['glute', 'hamstring', 'lower back']",['thigh - inner'],"['Attach a rope to a cable machine at floor-level position and stand facing away from the machine with your feet shoulder-width apart.', 'Grab the rope with both hands and position it between your legs, just above your knees.', 'Hinge forward at the hips and push your glutes back, keeping your back straight and chest up.', 'Lower your torso until it is parallel to the floor, feeling a stretch in your hamstrings.', 'Engage your glutes and hamstrings to drive your hips forward, standing up straight.', 'Repeat for the desired number of repetitions.']",,
Shrug – Barbell,,,,181.0,shrug-barbell,['trap'],['forearm - inner'],"['Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.', 'Keep your arms fully extended and your shoulders relaxed.', 'Slowly raise your shoulders as high as possible, as if you are trying to touch your ears with them.', 'Hold the contracted position for a brief pause, squeezing your shoulder muscles.', 'Lower your shoulders back down to the starting position in a controlled manner.', 'Repeat for the desired number of repetitions.']",,
Bulgarian Split Squat,,,,182.0,bulgarian-split-squat,"['glute', 'quad', 'thigh - inner']",[],"['Stand with your back facing a bench or step.', 'Place the top of one foot on the bench or step behind you.', 'Bend your front knee and lower your body down towards the ground, keeping your back straight.', 'Pause when your front thigh is parallel to the ground.', 'Push through your front heel to return to the starting position.', 'Repeat for the desired number of repetitions, then switch legs.']",,
Crunch – Machine,,,,183.0,crunch-machine,['abdominal'],['oblique'],"['Adjust the seat height and foot pad position on the crunch machine to ensure proper alignment.', 'Sit on the machine with your back against the backrest and your feet secured under the foot pads.', 'Place your hands lightly on the sides of your head, avoiding pulling on your neck.', 'Engage your core muscles by drawing your belly button in towards your spine.', 'Exhale and slowly curl your upper body forward, contracting your abdominal muscles.', 'Pause for a moment at the top of the movement, feeling the contraction in your abs.', 'Inhale and slowly lower your upper body back to the starting position, maintaining control throughout the movement.', 'Repeat for the desired number of repetitions.']",,
Shrug – Dumbbell,,,,184.0,shrug-dumbbell,['trap'],['forearm - inner'],"['Stand with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body.', 'Keep your arms straight and allow the dumbbells to hang at your sides.', 'Engage your core and lift your shoulders towards your ears, squeezing your shoulder blades together.', 'Hold the contraction for a second, then slowly lower your shoulders back down to the starting position.', 'Repeat for the desired number of repetitions.']",,
One-Legged Balance,,,,185.0,one-legged-balance,['calf'],[],"['Stand tall with your feet hip-width apart.', 'Shift your weight onto one leg and lift the other leg off the ground.', 'Engage your core muscles to maintain balance.', 'Keep your standing leg slightly bent and your knee aligned with your toes.', 'Find a focal point to help you maintain balance and focus.', 'Hold the position for a desired amount of time.', 'Switch legs and repeat the exercise.']",Try this exercise with closed eyes for increased difficulty.,
Feet-Up Bench Press – Barbell,,,,186.0,feet-up-bench-press-barbell,"['chest', 'shoulder - front']",['tricep'],"['Lie flat on a bench with your feet up in the air, knees bent at a 90-degree angle.', 'Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.', 'Engage your core and press your lower back into the bench.', 'Unrack the barbell and hold it directly above your chest, arms fully extended.', 'Inhale and slowly lower the barbell towards your chest, keeping your elbows tucked in.', 'Pause for a brief moment when the barbell touches your chest.', 'Exhale and push the barbell back up to the starting position, fully extending your arms.', 'Repeat the movement for the desired number of repetitions.']",,
Curl – Machine,,,,187.0,curl-machine,['bicep'],['forearm - inner'],"['Adjust the seat height and position yourself comfortably on the machine.', 'Grasp the handles with an underhand grip, palms facing up.', 'Keep your back straight and your elbows close to your sides.', 'Exhale and slowly curl the handles towards your shoulders, contracting your biceps.', 'Pause for a moment at the top of the movement, squeezing your biceps.', 'Inhale and slowly lower the handles back to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']",,
Reverse Fly – Machine,,,,188.0,reverse-fly-machine,"['rotator cuff - back', 'shoulder - back']",['trap'],"['Adjust the seat height and chest pad of the machine to your comfort level.', 'Sit on the machine with your chest against the pad and grasp the handles with an overhand grip.', 'Keep your back straight and engage your core muscles.', 'Exhale and slowly pull the handles back and away from your body, squeezing your shoulder blades together.', 'Pause for a moment at the fully contracted position.', 'Inhale and slowly return the handles to the starting position, maintaining control throughout the movement.', 'Repeat for the desired number of repetitions.']",,
Hang Power Snatch,,,,189.0,hang-power-snatch,"['glute', 'lower back', 'quad', 'thigh - inner']","['calf', 'forearm - inner', 'hamstring', 'trap']","['Stand with feet hip-width apart, holding a barbell with an overhand grip just outside of your thighs.', 'Lower into a quarter squat position, keeping your back straight and chest up.', 'Explosively extend your hips, knees, and ankles, jumping upward.', 'As you jump, pull the barbell upward, keeping it close to your body.', 'As the barbell reaches chest height, quickly drop into a quarter squat position and rotate your elbows under the barbell, keeping your arms straight.', 'Catch the barbell overhead with arms fully extended, in a quarter squat position.', 'Stand up, fully extending your hips and knees, while keeping the barbell overhead.', 'Lower the barbell back down to the starting position, and repeat for the desired number of repetitions.']",,
One-Handed Plate Wrist Curl,,,,190.0,one-handed-plate-wrist-curl,['forearm - inner'],[],"['Start by sitting on a bench or chair with your feet flat on the ground.', 'Hold a weight plate with an underhand grip, placing your hand on the inside rim of the plate.', 'Rest your forearm on your thigh, with your wrist hanging off the edge and pointing to the ceiling.', 'Lower the weight plate towards the ground by flexing your wrist, keeping your forearm stationary.', 'Pause for a moment at the bottom of the movement, feeling the stretch in your wrist.', 'Slowly curl the weight plate back up towards your body.', 'Repeat for the desired number of reps and then switch sides.']",,
Kettlebell Swing,,,,191.0,kettlebell-swing,"['glute', 'lower back']","['forearm - inner', 'hamstring', 'thigh - inner', 'trap']","['Stand with your feet shoulder-width apart, toes slightly turned out.', 'Hold the kettlebell with both hands between your thighs, maintaining an overhand grip, arms hanging naturally extended towards the floor.', 'Slightly bend your knees and hinge at the hips to push your buttocks back while keeping a flat back.', 'Initiate the swing by snapping your hips forward, driving the kettlebell upward with your glutes and hamstrings.', 'Swing the kettlebell to chest height with arms extended; keep your core engaged.', 'Allow the kettlebell to descend by hinging at the hips again, controlling the downward movement.', 'Use the momentum of the descending kettlebell to immediately begin the next swing.', 'Perform the desired number of repetitions, maintaining a rhythmic and controlled pace.', 'To finish, allow the kettlebell to swing back down one last time, slowing the swing to a stop safely.']",,
Seated Oblique Twist,,,,192.0,seated-oblique-twist,['oblique'],['abdominal'],"['Sit on a workout mat or bench with your knees bent and feet flat on the floor.', 'Engage your core muscles by drawing your navel towards your spine.', 'Hold a dumbbell or medicine ball with both hands close to your chest.', 'Keeping your back straight, lean slightly back to engage your abdominal muscles.', 'Exhale and rotate your torso to the right, bringing the weight towards your right hip.', 'Inhale as you return to the starting position.', 'Exhale and rotate your torso to the left, bringing the weight towards your left hip.', 'Inhale as you return to the starting position.', 'Repeat the twisting motion for the desired number of repetitions on each side.']",,
Lying Leg Curl,,,,193.0,lying-leg-curl,['hamstring'],[],"['Lie face down on a leg curl machine with your legs fully extended and your ankles against the padded lever.', 'Grasp the handles on the machine for stability.', 'Engage your core and squeeze your glutes.', 'Bend your knees to curl the lever towards your glutes, keeping your upper legs stationary.', 'Pause for a moment at the top of the movement, feeling the contraction in your hamstrings.', 'Slowly lower the lever back to the starting position, fully extending your legs.', 'Repeat for the desired number of repetitions.']",,
Hack Squat – Machine,,,,194.0,hack-squat-machine,"['glute', 'quad', 'thigh - inner']",[],"['Adjust the seat height and foot platform of the machine to your desired position.', 'Sit on the machine with your back against the pad and grasp the handles with an overhand grip.', 'Engage your core throughout the exercise.', 'Bend your knees and lower your body down, keeping your back straight and your heels on the foot platform.', 'Continue descending until your thighs are parallel to the foot platform or as low as your flexibility allows.', 'Push through your heels and extend your legs to return to the starting position.', 'Repeat for the desired number of repetitions.']",,
One-Handed Wrist Extension – Dumbbell,,,,195.0,one-handed-wrist-extension-dumbbell,['forearm - outer'],[],"['Hold a dumbbell with an overhand grip.', 'Sit on a bench with your feet shoulder-width apart.', 'Rest your forearm on the top of your thigh, with your palm facing down.', 'Slowly lift the dumbbell by extending your wrist, keeping your elbows stationary. Focus on bringing your knuckles back towards the top of your forearm.', 'Hold the dumbbell at the top of the movement for a moment.', 'Lower the dumbbell back down to the starting position by flexing your wrist towards the floor.', 'Repeat for the desired number of reps and then switch sides.']",,
Seated Shoulder Press – Barbell,,,,196.0,seated-overhead-press-barbell,['shoulder - front'],"['shoulder - side', 'tricep']","['Start by sitting on a back-supporting bench with your feet firmly planted on the ground.', 'Hold the barbell with an overhand grip, slightly wider than shoulder-width apart.', 'Bring the barbell to shoulder level, resting it on your upper chest and front shoulders.', 'Engage your core and keep your back straight throughout the exercise.', 'Press the barbell overhead by extending your arms fully, but without locking your elbows.', 'Pause briefly at the top of the movement, then slowly lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']",,
Lunge – Barbell,,,,200.0,lunge-barbell,"['glute', 'quad', 'thigh - inner']",[],"['Start by standing with your feet hip-width apart and your back straight.', 'Hold a barbell across your upper back, resting it on your shoulders.', 'Take a step forward with your right foot, keeping your core engaged and your chest lifted.', 'Bend both knees to lower your body towards the ground, making sure your front knee does not go past your toes.', 'Lower your body until your front thigh is parallel to the ground, and your back knee is hovering just above the floor.', 'Push through your front heel to return to the starting position.', 'Repeat the movement on the other side by stepping forward with your left foot.', 'Continue alternating legs for the desired number of repetitions.']",,
Kneeling Incline Push-Up,,,,201.0,kneeling-incline-push-up,"['chest', 'shoulder - front', 'tricep']",['abdominal'],"['Start by kneeling on the ground with your hands placed slightly wider than shoulder-width apart on an elevated surface, such as a bench or step.', 'Engage your core and lower your chest towards the elevated surface, bending your elbows and keeping them close to your body. Keep your body in a straight line from head to knee.', 'Pause briefly when your chest is just above the surface, then push through your hands to extend your arms and return to the starting position.', 'Repeat for the desired number of repetitions.']",,
Plate Front Raise,,,,202.0,plate-front-raise,['shoulder - front'],['shoulder - side'],"['Stand with your feet shoulder-width apart and hold a weight plate with both hands in front of your thighs.', 'Keep your arms straight and slowly raise the weight plate up to shoulder level, making sure to keep your core engaged and your back straight.', 'Pause for a moment at the top of the movement, then slowly lower the weight plate back down to the starting position.', 'Repeat for the desired number of repetitions.']",,
Row – Barbell,,,,203.0,row-barbell,"['lat', 'shoulder - back', 'trap']","['bicep', 'forearm - inner', 'lower back', 'rotator cuff - back', 'rotator cuff - front']","['Stand in front of a barbell with your feet shoulder-width apart.', 'Bend your knees slightly and hinge forward at the hips, keeping your back straight.', 'Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Engage your core and pull the barbell towards your upper abs or lower chest, keeping your elbows close to your body.', 'Pause and squeeze your shoulder blades together for a moment at the top of the movement.', 'Slowly lower the barbell back to the starting position.', 'Repeat for the desired number of repetitions.']",,
One-Handed Lat Pulldown,,,,204.0,one-handed-lat-pulldown,['lat'],"['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front', 'shoulder - back']","['Adjust the seat height and position yourself in the lat pulldown machine.', 'Grasp the lat pulldown bar with one hand, using an overhand grip.', 'Engage your core and keep your back straight throughout the exercise.', 'Start with your arm fully extended, allowing the weight to be lifted off the stack.', 'Exhale and pull the bar down towards your side, focusing on squeezing your lat muscles.', 'Pause for a moment at the bottom of the movement, feeling the contraction in your lat.', 'Inhale and slowly return the bar to the starting position, fully extending your arm.', 'Repeat for the desired number of repetitions and then switch to the other hand.']",,
Bench Press – Dumbbell,,,,205.0,bench-press-dumbbell,"['chest', 'shoulder - front']",['tricep'],"['Lie flat on a bench with your feet firmly planted on the ground.', 'Hold a dumbbell in each hand, palms facing forward, and extend your arms straight up over your chest.', 'Lower the dumbbells slowly towards your chest, keeping your elbows wide.', 'Pause for a moment when the dumbbells are just above your chest.', 'Push the dumbbells back up to the starting position, fully extending your arms.', 'Repeat for the desired number of repetitions.']",,
Pendlay Row,,,,206.0,pendlay-row,"['lat', 'shoulder - back', 'trap']","['bicep', 'forearm - inner', 'lower back', 'rotator cuff - back', 'rotator cuff - front']","['Load a barbell with weights on the floor.', 'Stand with your feet shoulder-width apart and your knees slightly bent.', 'Bend forward at the hips, keeping your back straight and parallel to the ground.', 'Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart.', 'Keeping your upper body still and your elbows close to your body, pull the barbell up towards your chest, squeezing your shoulder blades together.', 'Lower the barbell all the way back down to the floor. Completely release the tension of the weight for a brief moment while maintaining control and keeping your back straight.', 'Repeat for the desired number of repetitions.']",,
Deadlift – Fat Bar,,,,207.0,deadlift-fat-bar,"['forearm - inner', 'forearm - outer', 'glute', 'hamstring', 'lower back']","['calf', 'trap', 'quad']","['Stand with your feet shoulder-width apart, holding a loaded fat bar in front of your quads.', 'Bend your knees, hinge and lean forward at the hips, keeping your back straight and your chest up.', 'Lower the fat bar towards the ground, keeping it close to your legs.', 'Pause when the fat bar is just below your knees.', 'Push through your heels and stand up, keeping your back straight and your chest up.', 'Repeat.']",,
One-Handed Standing Chest Fly – Band,,,,208.0,one-handed-standing-chest-fly-band,['chest'],"['bicep', 'forearm - inner', 'shoulder - front']","['Find a sturdy stationary object, such as a pole or a door anchor, and attach one end of the resistance band to it at chest height.', 'Stand with your feet shoulder-width apart, facing away from the stationary object.', 'Hold the free end of the resistance band in one hand, with your palm facing forward.', 'Position yourself at a distance from the stationary object so that there is tension in the band when your arm is extended forward at chest height.', 'Keep your elbow slightly bent and your arm extended out to the side at shoulder height.', 'Engage your core muscles to stabilize your torso.', 'With a slight bend in your elbow, bring your arm across your chest in a sweeping motion while keeping your chest open.', 'Feel the stretch in your chest muscles as you bring your arm across your body.', 'Return your arm to the starting position in a controlled manner.', 'Complete the desired number of repetitions on one side before switching to the other.']",,
Bench Press – Smith Machine,,,,209.0,bench-press-smith-machine,"['chest', 'shoulder - front']",['tricep'],"['Set up a bench under a Smith machine so that the bar is over your chest while lying on the bench.', 'Lie down on the bench with your feet flat on the floor and your back pressed against the bench.', 'Extend your arms and grip the bar with your hands slightly wider than shoulder-width apart, palms facing forward.', 'Unrack the bar by straightening your arms and lifting it off the rack.', 'Lower the bar slowly towards your chest, keeping your elbows wide.', 'Pause for a moment when the bar touches your chest.', 'Push the bar back up to the starting position by extending your arms fully.', 'Repeat the movement for the desired number of repetitions.', 'Once finished, carefully rack the bar back onto the Smith machine.']",,
Underhand Grip Inverted Row,,,,210.0,underhand-grip-inverted-row,"['lat', 'shoulder - back', 'trap']","['bicep', 'forearm - inner', 'rotator cuff - back', 'rotator cuff - front']","['Set up a barbell or suspension trainer at waist height.', 'Stand facing the barbell or suspension trainer and grab it with an underhand grip, hands shoulder-width apart.', 'Walk your feet forward until your body is at a slight angle, with your arms extended and your body in a straight line.', 'Engage your core and squeeze your shoulder blades together as you pull your chest towards the barbell or suspension trainer.', 'Pause for a moment at the top of the movement, then slowly lower yourself back down to the starting position.', 'Repeat for the desired number of repetitions.']",,
Mountain Climbers – BOSU,,,,211.0,mountain-climbers-bosu,['abdominal'],['oblique'],"['Place a BOSU ball on the floor with the dome side facing down.', 'Assume a push-up position with your hands gripped on the sides of the BOSU ball.', 'Engage your core and keep your body in a straight line from head to toe.', 'Start by bringing one knee towards your chest, then quickly switch and bring the other knee towards your chest.', 'Continue alternating your knees in a running motion, keeping your hips low and your abs tight.', 'Perform the exercise for the desired number of repetitions or time.']",,
Standing Bicycle Crunch,,,,212.0,standing-bicycle-crunch,"['abdominal', 'oblique']","['glute', 'thigh - inner', 'thigh - outer', 'lower back']","['Stand upright with your feet hip-width apart.', 'Place your hands behind your head, elbows out to the sides.', 'Engage your core muscles to stabilize your torso.', 'Lift your right knee towards your chest while simultaneously crunching your left elbow towards your right knee.', 'Return to the starting position.', 'Now, lift your left knee towards your chest while crunching your right elbow towards your left knee.', 'Continue alternating between sides for the desired number of repetitions.']",,
Clamshells,,,,213.0,clamshells,['thigh - outer'],['glute'],"['Lie on your side with your knees bent and your feet together.', 'Keep your feet touching and lift your top knee as high as you can without moving your pelvis.', 'Pause for a moment at the top of the movement, then slowly lower your knee back down.', 'Repeat the movement for the desired number of repetitions, then switch to the other side.']",Use a resistance band around your knees to increase the difficulty of the exercise.,
